username,city,country,gender,year_of_birth,level_of_education,body,polarity,subjectivity,course_id,Certificate_Delivered
Fun_Nico,BRON,FR,m,1980,m,"Bonjour,
Je m'appelle Nicolas et je suis chef de projet informatique dans l'industrie automobile. Mes connaissances en électronique sont assez basique.",0.0,0.0,MinesTelecom/04017/session01,N
p_augereau,Montpellier,FR,m,1949,p,"Bonjour,
Je me prénomme Patrick, retraité de la recherche en biologie moléculaire, avec une petite pratique en bioinformatique, et donc quelques bases de programmation (python, R); je suis curieux de savoir ce qu'on peut faire avec Arduino (et à l'occasion Rasperry Pi, si je trouve un MOOC sur ce sujet), et d'apprendre par quel bout prendre la bête; mes maigres connaissances en électronique datant de mes études, autant dire que j'ai tout à reprendre.",0.0,0.0,MinesTelecom/04017/session01,Y
p_augereau,Montpellier,FR,m,1949,p,"Bonjour,
Je me prénomme Patrick, retraité de la recherche en biologie moléculaire, avec une petite pratique en bioinformatique, et donc quelques bases de programmation (python, R); je suis curieux de savoir ce qu'on peut faire avec Arduino (et à l'occasion Rasperry Pi, si je trouve un MOOC sur ce sujet), et d'apprendre par quel bout prendre la bête; mes maigres connaissances en électronique datant de mes études, autant dire que j'ai tout à reprendre.",0.0,0.0,MinesTelecom/04017/session01,N
mohsin,Rabat,MA,m,1991,b,"Bonjour les ami'e's c'est mohsin de rabat maroc,je suis licensié en finance et banque ,et je travail actuellement en tant que responsable informatique dans une grande entreprise telecom,en plus j'ai aucune connaissance envers arduino ni electronique,mais j'espere que vous m'aider à acquerir plus d'informations,merci et bonne continuation.
cordialement ",0.0,0.0,MinesTelecom/04017/session01,N
papadome,Saint-Pierre-des-Corps,FR,f,1989,m,"Bonjour, je travaille dans l'éducation au et par le numérique. Je n'ai pas de compétences dans l'Arduino. J'aimerais apprendre comment l'utiliser pour mettre en place un parcours éducatif.
Eni",0.0,0.0,MinesTelecom/04017/session01,Y
papadome,Saint-Pierre-des-Corps,FR,f,1989,m,"Bonjour, je travaille dans l'éducation au et par le numérique. Je n'ai pas de compétences dans l'Arduino. J'aimerais apprendre comment l'utiliser pour mettre en place un parcours éducatif.
Eni",0.0,0.0,MinesTelecom/04017/session01,N
BernardOO,Gujan-Mestras,FR,m,1949,m,"Bonjour à toutes et à tous, je suis Bernard, situé près d'Arcachon. Retraité, je me suis récemment intéressé au DIY et à l'impression 3D, et le besoin de ressortir l'Arduino en sommeil dans un placard depuis plusieurs mois se fait sentir...",0.0,0.0,MinesTelecom/04017/session01,Y
witoyka,Bamako,ML,m,1990,m,"Bonjour, je m'appelle youssouf ouologuem, je suis malien, je suis etudiant en Master 1 électronique.Je saouhaite developper des competences apres avoir acquerir des copetences à l'issu de ce mooc.
",0.0,0.0,MinesTelecom/04017/session01,N
Ftolojanahary,Paris,FR,m,1978,m,"bonjour, je suis content d'être parmis vous!!!
cdlt,",0.0,0.0,MinesTelecom/04017/session01,N
nessima,mateur,TN,f,1993,m,"Bonjour ,
Je suis nessima etudiante en cycle d'ingénieur en informatique",0.0,0.0,MinesTelecom/04017/session01,N
jjs23,GENTIOUX,FR,m,1948,m,"bonjour, je m'appelle Jean-Jacques, j'habite Limoges (87) et je suis retraité de la formation d'adultes et je suis ""bidouilleur"" en techno. J'ai tenté le Raspberry mais je l'ai ""cassé"" (les broches...). Il fonctionne encore comme un ordi. L'Arduino pour faire des montages a l'air plus souple. On va voir au long de ce MOOC !
Bon courage à tous",-0.0625,0.4,MinesTelecom/04017/session01,Y
jjs23,GENTIOUX,FR,m,1948,m,"bonjour, je m'appelle Jean-Jacques, j'habite Limoges (87) et je suis retraité de la formation d'adultes et je suis ""bidouilleur"" en techno. J'ai tenté le Raspberry mais je l'ai ""cassé"" (les broches...). Il fonctionne encore comme un ordi. L'Arduino pour faire des montages a l'air plus souple. On va voir au long de ce MOOC !
Bon courage à tous",-0.0625,0.4,MinesTelecom/04017/session01,N
Guillaume31,None,FR,m,1971,m,"Bonjour,
Il faudrait effectivement pouvoir si l'on conteste une evaluation pouvoir se faire corriger par un 3eme evaluateur. Sur d'autres plateformes, il y a une option pour corrriger plus de 2 ""copies"". Pourquoi pas mettre ce fonctionnement en place aussi sur FUN ?.  ",0.3,0.2,MinesTelecom/04017/session01,Y
Guillaume31,None,FR,m,1971,m,"Bonjour,
Il faudrait effectivement pouvoir si l'on conteste une evaluation pouvoir se faire corriger par un 3eme evaluateur. Sur d'autres plateformes, il y a une option pour corrriger plus de 2 ""copies"". Pourquoi pas mettre ce fonctionnement en place aussi sur FUN ?.  ",0.3,0.2,MinesTelecom/04017/session01,N
tons28,Saint Felix de Lodez,FR,m,1974,hs,"Bonjour, 
Je suis Tony, j'ai 42 ans, je vis dans l'arrière pays Montpelliérain, aux portes du Larzac.
Passionné par les nouvelles technologies, internet, la domotique etc :) ",0.5,1.0,MinesTelecom/04017/session01,Y
tons28,Saint Felix de Lodez,FR,m,1974,hs,"Bonjour, 
Je suis Tony, j'ai 42 ans, je vis dans l'arrière pays Montpelliérain, aux portes du Larzac.
Passionné par les nouvelles technologies, internet, la domotique etc :) ",0.5,1.0,MinesTelecom/04017/session01,N
CLM84,LIMOGES,FR,m,1984,m,"Bonjour,

Sur le code que j'ai soumis, je m'aperçois que le copier/coller n'a pas pris en compte au départ l'assignation des variables :

// Leds Vert, Orange, Rouge, connectées sur les broches 13, 12 et 11.
// Nom des variables correspondantes aux boches:
int ledVert = 13;
int ledOrange = 12;
int ledRouge = 11;

Est-il possible de modifier cela ?",0.0,1.0,MinesTelecom/04017/session01,Y
CLM84,LIMOGES,FR,m,1984,m,"Bonjour,

Sur le code que j'ai soumis, je m'aperçois que le copier/coller n'a pas pris en compte au départ l'assignation des variables :

// Leds Vert, Orange, Rouge, connectées sur les broches 13, 12 et 11.
// Nom des variables correspondantes aux boches:
int ledVert = 13;
int ledOrange = 12;
int ledRouge = 11;

Est-il possible de modifier cela ?",0.0,1.0,MinesTelecom/04017/session01,N
michelgard,Nîmes,FR,m,1967,jhs,Il faut faire une contestation en bas du correcteur.,0.0,0.0,MinesTelecom/04017/session01,Y
michelgard,Nîmes,FR,m,1967,jhs,Il faut faire une contestation en bas du correcteur.,0.0,0.0,MinesTelecom/04017/session01,N
YGLE,Rennes,FR,m,1968,hs,"Bonjour à toutes et tous.

Je m'appelle Yann, j'ai 48 ans, je suis passionné de nouvelles technologies et informaticien de métier. 

Je me suis récemment orienté vers le développement IOS et j'aimerais compléter mes connaissances dans le domaine des objets connectés.

A bientôt

Yann
",0.0,0.0,MinesTelecom/04017/session01,Y
YGLE,Rennes,FR,m,1968,hs,"Bonjour à toutes et tous.

Je m'appelle Yann, j'ai 48 ans, je suis passionné de nouvelles technologies et informaticien de métier. 

Je me suis récemment orienté vers le développement IOS et j'aimerais compléter mes connaissances dans le domaine des objets connectés.

A bientôt

Yann
",0.0,0.0,MinesTelecom/04017/session01,N
vsimoes,Versailles,FR,m,1988,p,"Bonjour à tous,

Actuellement professeur de Sciences de l'Ingénieur en CPGE à Versailles.
Nous avons la chance d'avoir un labo pédagogique muni d'une imprimante 3D, une équipe enseignante motivée et des élèves pleins d'idées.
Je souhaite m'initier dans le domaine des objets connectés afin de pouvoir développer des projets ludiques et pédagogiques.

C'est avec plaisir que je participe à cette formation,

Amicalement,

-- 
Vincent S.",0.0,0.0,MinesTelecom/04017/session01,Y
vsimoes,Versailles,FR,m,1988,p,"Bonjour à tous,

Actuellement professeur de Sciences de l'Ingénieur en CPGE à Versailles.
Nous avons la chance d'avoir un labo pédagogique muni d'une imprimante 3D, une équipe enseignante motivée et des élèves pleins d'idées.
Je souhaite m'initier dans le domaine des objets connectés afin de pouvoir développer des projets ludiques et pédagogiques.

C'est avec plaisir que je participe à cette formation,

Amicalement,

-- 
Vincent S.",0.0,0.0,MinesTelecom/04017/session01,N
alwad,LE CHESNAY,FR,m,1974,m,"Merci VincentLim.

J'ai aussi fait une machine à bulles
 https://www.youtube.com/watch?v=ZZ2RNw1B3ds",0.0,0.0,MinesTelecom/04017/session01,Y
alwad,LE CHESNAY,FR,m,1974,m,"Merci VincentLim.

J'ai aussi fait une machine à bulles
 https://www.youtube.com/watch?v=ZZ2RNw1B3ds",0.0,0.0,MinesTelecom/04017/session01,N
Captain-iglou,Chelles,FR,m,1991,hs,"Bonjour à tous,
Je suis content de participer à mon premier MOOC néanmoins je vais devoir me familiariser avec le tableau de bord... première boulette... j'ai validé ma réponse alors que je souhaitais juste la sauvegarder pour revenir dessus plus tard. La prochaine fois je ferais plus attention.
Merci.",0.0,0.0,MinesTelecom/04017/session01,Y
Captain-iglou,Chelles,FR,m,1991,hs,"Bonjour à tous,
Je suis content de participer à mon premier MOOC néanmoins je vais devoir me familiariser avec le tableau de bord... première boulette... j'ai validé ma réponse alors que je souhaitais juste la sauvegarder pour revenir dessus plus tard. La prochaine fois je ferais plus attention.
Merci.",0.0,0.0,MinesTelecom/04017/session01,N
wadeviag,Bogota,CO,m,1989,b,"Salut tout le monde! Mon nom est William, je suis Colombien et le sujet-ci m'intéresse bcp donc je vais essayer de suivre le cours avec vous. Je m'excuse d'avance parce que le français n'est pas ma langue maternelle et je vais bien sûr faire des erreurs. ",-0.05,0.05,MinesTelecom/04017/session01,Y
wadeviag,Bogota,CO,m,1989,b,"Salut tout le monde! Mon nom est William, je suis Colombien et le sujet-ci m'intéresse bcp donc je vais essayer de suivre le cours avec vous. Je m'excuse d'avance parce que le français n'est pas ma langue maternelle et je vais bien sûr faire des erreurs. ",-0.05,0.05,MinesTelecom/04017/session01,N
damthemad,REIMS,FR,m,1968,m,"Bonjour,

Damien, très expérimenté en informatique, débutant en électricité ou électronique. Mais motivé pour progresser et pouvoir piloter du matériel par programmation.

J'ai soigneusement parcouru le MOOC et je ne vois nulle part la moindre explication permettant d'avoir la plus petite chance de réussir le premier exercice pour quelqu'un dans mon cas (c'est à dire totalement novice en électronique).

J'ai bien compris qu'il faut brancher 3 leds, chacune sur un circuit distinct qui en plus de la led doit comprendre une résistance, et que chaque circuit doit être relié sur un port de l'arduino manipulé par le programme.

Si écrire le code ne m'a posé aucun problème, je ne vois absolument pas comment faire le branchement. Je suis en mode simulateur, je me suis créé un compte et j'ai à priori compris comment fonctionne l'outil mais après je suis bloqué.

J'ai été sur le site externe proposé où on a un exemple de montage similaire (2 jeux de feux) et je vois qu'il faut raccorder, outre les ports des leds, je ne sais quel port de l'arduino à je ne sais quel branchement du breadboard. Pour l'alimenter en électricité ? Mais quels ports, mystère. Ce point n'est pas évoqué dans le cours.

Il semblerait aussi qu'il faille mettre des résistances (ça c'est bien évoqué dans le MOOC), en série, donc à priori sur la même colonne, mais avant ou après la led ? A priori après, de ce que je comprends du site externe. La précision n'est pas donnée dans le cours.

Toujours sur le site externe proposé, il semble que (la vidéo n'est pas de très bonne qualité) les leds aient une pate sur chaque moitié du breadcrumb (séparation horizontale centrale). Pourquoi ? Des explications du cours, j'ai compris que cette séparation permettait d'isoler les circuits verticaux au dessus et en dessous de cette séparation. Dans chaque colonne où on a une led, on a aussi un branchement de la colonne vers le bord de la plaque d'essai (vers le - pour la masse ?). Pourquoi ? 

Bref, avec la meilleure volonté du monde, je ne vois pas comment faire l'exercice sans notions de base et sans un peu plus d'explications. Ou j'ai manqué quelque chose ?


Merci pour votre aide, je souhaite vraiment avancer
",-0.25,0.65,MinesTelecom/04017/session01,N
lailague,Paris,FR,f,1993,hs,"Bonjour !

Je suis Laila, 22 ans et étudiante dans le domaine du digital. J'ai un background de graphiste, mais la programmation m'attire ! Je souhaite donc m'initier à ce domaine, qui peut peut-être se rapprocher du web mais dans une démarche plus réelle.

J'aimerais surtout m'amuser, replonger dans mes TP de physique et pourquoi pas découvrir le domaine !",0.0,0.0,MinesTelecom/04017/session01,Y
lailague,Paris,FR,f,1993,hs,"Bonjour !

Je suis Laila, 22 ans et étudiante dans le domaine du digital. J'ai un background de graphiste, mais la programmation m'attire ! Je souhaite donc m'initier à ce domaine, qui peut peut-être se rapprocher du web mais dans une démarche plus réelle.

J'aimerais surtout m'amuser, replonger dans mes TP de physique et pourquoi pas découvrir le domaine !",0.0,0.0,MinesTelecom/04017/session01,N
OlivierFormateur,Bruxelles,BE,m,1963,jhs,"En haut à droite, il y a un ""+"" et puis choisir ""New electronic lab""
",0.136364,0.454545,MinesTelecom/04017/session01,N
RDS,Serpaize,FR,m,1945,m,"Bonjour à tous,

Je m'appelle Daniel et suis maintenant à la retraite. Ingénieur Électronique/Automatique de formation j'ai travaillé pendant des années à l’international d'abord dans le domaine de l'électronique / informatique puis curieusement dans le monde du ciment (hé oui tout arrive !) mais toujours dans les départements ""Formation"" de 2 grosses entreprises.

Passionné par la Physique et les Techniques je pratique toujours pour le plaisir ma discipline. Je me suis inscrit entre autres à ce cours pour enfin apprendre à maîtriser ces petits machins si puissant que sont les microproc. actuels sans lesquels il n'y a plus d'électronique aujourd'hui ! (quel contraste avec les ordinateurs sur lesquels j'ai commencé à travailler !)

Je me suis déjà équipé (pour pas cher) du matériel indiqué dans la présentation du cours (si cela intéresse je peux transmettre les coordonnées de mon fournisseur)

Chers Professeurs et chers Collègues Salutations les plus cordiales.
",0.0,0.0,MinesTelecom/04017/session01,N
alwad,LE CHESNAY,FR,m,1974,m,"Bonjour voisin !


Jérôme, 78150",0.0,0.0,MinesTelecom/04017/session01,Y
alwad,LE CHESNAY,FR,m,1974,m,"Bonjour voisin !


Jérôme, 78150",0.0,0.0,MinesTelecom/04017/session01,N
alwad,LE CHESNAY,FR,m,1974,m,"Bonjour voisin,

Jérôme, 78150",0.0,0.0,MinesTelecom/04017/session01,Y
alwad,LE CHESNAY,FR,m,1974,m,"Bonjour voisin,

Jérôme, 78150",0.0,0.0,MinesTelecom/04017/session01,N
damthemad,REIMS,FR,m,1968,m,"Damien,

dans l'informatique depuis plus de 30 ans, et une bille totale en électricité, et en électronique j'en parle même pas.

j'ai depuis longtemps envie de manipuler des périphériques externes, le développement de l'IOT réactualise ce besoin, quand j'ai vu ce MOOC arduino, je me suis dis que c'était le moment d'essayer de m'y mettre : j'ai un peu du temps actuellement, et en outre je démarre bientôt une activité en indépendant... qui sait, ça me fera toujours une carte de plus à mon arc. Et indépendamment de tout débouché, je suis curieux ;-)

Voilou

plus de détail ? http://damien.tacheron.fr 









",0.25,1.0,MinesTelecom/04017/session01,N
med2ver,Rennes,FR,m,1978,m,"Bonjour,

C'est mon premier MOOC et je suis impatient de découvrir tout ça !

Je suis tombé sur ce cours un peu par hasard, mais cela m'a tout de suite intéressé. Je suis ingénieur télécoms, un peu geek sur les bords. Je me suis déjà amusé avec un Raspberry Pi mais jamais avec un Arduino. 

Je ne connaissais pas non plus les FabLabs. Habitant près de Rennes, j'ai vu qu'il y en a un, il faudra que j'y passe un de ces jours !

A bientôt !",-0.390625,0.9,MinesTelecom/04017/session01,Y
med2ver,Rennes,FR,m,1978,m,"Bonjour,

C'est mon premier MOOC et je suis impatient de découvrir tout ça !

Je suis tombé sur ce cours un peu par hasard, mais cela m'a tout de suite intéressé. Je suis ingénieur télécoms, un peu geek sur les bords. Je me suis déjà amusé avec un Raspberry Pi mais jamais avec un Arduino. 

Je ne connaissais pas non plus les FabLabs. Habitant près de Rennes, j'ai vu qu'il y en a un, il faudra que j'y passe un de ces jours !

A bientôt !",-0.390625,0.9,MinesTelecom/04017/session01,N
diablos91,BBrétigny sur Orge,FR,m,1967,hs,"Antonio,

Passionné d'informatique mais inculte en électronique,je vais suivre ce mooc pour ma culture personnelle :-) ",0.5,1.0,MinesTelecom/04017/session01,Y
diablos91,BBrétigny sur Orge,FR,m,1967,hs,"Antonio,

Passionné d'informatique mais inculte en électronique,je vais suivre ce mooc pour ma culture personnelle :-) ",0.5,1.0,MinesTelecom/04017/session01,N
OFrateur,Groslay,FR,m,1980,m,"Bonjour, je suis enseignant de mathématiques et en charge d'enseigner l'ISN en terminale S, et je souhaite monter des activités arduino pour les élèves.",0.0,0.0,MinesTelecom/04017/session01,N
Kanematsu,Montalieu-Vercieu,FR,m,1990,b,"Bonjour,

Je suis animateur numérique et bibliothécaire. Je ne connais pas grand chose en électronique mais j'espère découvrir cet univers et peut-être le faire découvrir aux usagers qui fréquentent mon établissement. Ceci dit ma motivation est surtout personnelle, je souhaite comprendre davantage les nouvelles technologies et arrêter de les envisager comme des processus ""magiques"". J'ai déjà suivi plusieurs moocs sur FUN certains jusqu'au bout, d'autres non. 
Si certains ont une expérience dans l'animation autour d'Arduino en bibliothèque je suis particulièrement intéressé.

Bon mooc à tous.",0.4,0.6,MinesTelecom/04017/session01,Y
Kanematsu,Montalieu-Vercieu,FR,m,1990,b,"Bonjour,

Je suis animateur numérique et bibliothécaire. Je ne connais pas grand chose en électronique mais j'espère découvrir cet univers et peut-être le faire découvrir aux usagers qui fréquentent mon établissement. Ceci dit ma motivation est surtout personnelle, je souhaite comprendre davantage les nouvelles technologies et arrêter de les envisager comme des processus ""magiques"". J'ai déjà suivi plusieurs moocs sur FUN certains jusqu'au bout, d'autres non. 
Si certains ont une expérience dans l'animation autour d'Arduino en bibliothèque je suis particulièrement intéressé.

Bon mooc à tous.",0.4,0.6,MinesTelecom/04017/session01,N
tassojenni,Vienne,FR,f,2014,m,"bonjour, ## Titre ##
Jennifer, je suis une jeune designer, 30ans sur Lyon, qui a entre-aperçut arduino à l'école d'art y a 6 ans (j'ai ma carte arduino qui dort depuis, c'est bien dommage non?). C'était un workshop que j'avais beaucoup apprécié  car ça permet de proposer de nouvelles interactions-interactivités entre l'utilisateur et les objets

Et je souhaite me mettre plus sérieusement dessus car j'ai des idées de projets pour lesquels c'est indispensable. et puis j'ai un pere qui est technicien en electronique et ca serait un bon myen de créer et bidouiller ensemble!!!
voili
",0.78125,0.9,MinesTelecom/04017/session01,Y
tassojenni,Vienne,FR,f,2014,m,"bonjour, ## Titre ##
Jennifer, je suis une jeune designer, 30ans sur Lyon, qui a entre-aperçut arduino à l'école d'art y a 6 ans (j'ai ma carte arduino qui dort depuis, c'est bien dommage non?). C'était un workshop que j'avais beaucoup apprécié  car ça permet de proposer de nouvelles interactions-interactivités entre l'utilisateur et les objets

Et je souhaite me mettre plus sérieusement dessus car j'ai des idées de projets pour lesquels c'est indispensable. et puis j'ai un pere qui est technicien en electronique et ca serait un bon myen de créer et bidouiller ensemble!!!
voili
",0.78125,0.9,MinesTelecom/04017/session01,N
BernardOO,Gujan-Mestras,FR,m,1949,m,"Bonjour,
n'est-ce pas ""digitalWrite"", avec une seule lettre en majuscule ?",0.0,0.0,MinesTelecom/04017/session01,Y
SylvainDreh,METZ,FR,m,1966,el,"Bonjour,

Sylvain, 49 ans, de METZ, actuellement en école de reconversion professionnelle BAC Pro ""Etude et définition de produits industriels"".

Je me suis inscrit à ce MOOC pour approfondir mes connaissances de débutant sur la programmation avec Arduino. Amateur de simulation de course et de vol, j'ai un projet à long terme : la conception d'un simulateur dynamique DIY 4 voir 6 DOF.

Bon courage à tous et toutes.",-0.15,0.325,MinesTelecom/04017/session01,Y
SylvainDreh,METZ,FR,m,1966,el,"Bonjour,

Sylvain, 49 ans, de METZ, actuellement en école de reconversion professionnelle BAC Pro ""Etude et définition de produits industriels"".

Je me suis inscrit à ce MOOC pour approfondir mes connaissances de débutant sur la programmation avec Arduino. Amateur de simulation de course et de vol, j'ai un projet à long terme : la conception d'un simulateur dynamique DIY 4 voir 6 DOF.

Bon courage à tous et toutes.",-0.15,0.325,MinesTelecom/04017/session01,N
iMob,Kinshasa,CD,m,1987,b,"Bonjour

Je suis en République Démocratique du Congo, à Kinshasa. Je ne sais pas où m'acquérir tous ces outils. j'ai essayer comme indiqué ci-haut et ça marche. A la maison souvent je n'ai pas accès à l'Internet ou souvent de faible qualité. Ma préoccupation est de savoir s'il n'y a pas un logiciel offline pouvant me permettre de faire mes exercices pratique les week-end à la maison.",0.0,0.0,MinesTelecom/04017/session01,N
rpecebou,Evry,FR,m,1993,m,"Bonjour à tous,

Rémi, étudiant en sécurité des systèmes informatiques et des réseaux. J'ai eu l'occasion de programmer des robots, mais jamais de construire le moindre dispositif de zéro. Voilà donc l'occasion parfaite de mettre en pratique des années d'obscurs cours d'électronique :)

A bientôt sur le forum !",0.625,1.0,MinesTelecom/04017/session01,Y
rpecebou,Evry,FR,m,1993,m,"Bonjour à tous,

Rémi, étudiant en sécurité des systèmes informatiques et des réseaux. J'ai eu l'occasion de programmer des robots, mais jamais de construire le moindre dispositif de zéro. Voilà donc l'occasion parfaite de mettre en pratique des années d'obscurs cours d'électronique :)

A bientôt sur le forum !",0.625,1.0,MinesTelecom/04017/session01,N
rpecebou,Evry,FR,m,1993,m,"As-tu un code à poster, si c'est de cela que vient l'erreur ? Comment as-tu fait ton montage ?",0.0,0.0,MinesTelecom/04017/session01,Y
rpecebou,Evry,FR,m,1993,m,"As-tu un code à poster, si c'est de cela que vient l'erreur ? Comment as-tu fait ton montage ?",0.0,0.0,MinesTelecom/04017/session01,N
pporsan,Clichy,FR,m,1978,m,"Bonjour,
Je suis ingénieur en informatique et j'ai 37 ans.
Je suis très intéressé par l'internet des objets, l'envi d'en apprendre plus et pourquoi de pratiquer.
Pas de connaissance en électronique mais en programmation.",0.0,0.0,MinesTelecom/04017/session01,Y
Phil38110,Cessieu,FR,m,1955,p,"Bonjour ! Je suis Bernard, j'habite entre Lyon et Grenoble. Je suis passionné professionnellement et personnellement par la qualité de l'air intérieur. J'ai décidé de construire moi-même les prototypes de contrôleurs d'air dont j'ai besoin pour asservir des appareils de traitement d'air (odeurs, COV, particules fines). Je suis tombé sur Arduino et j'ai pensé que ce serait bien pour compléter et raviver les cours d'électronique par correspondance que j'avais pris ... il y a presque 50 ans !",0.0,0.0,MinesTelecom/04017/session01,Y
Phil38110,Cessieu,FR,m,1955,p,"Bonjour ! Je suis Bernard, j'habite entre Lyon et Grenoble. Je suis passionné professionnellement et personnellement par la qualité de l'air intérieur. J'ai décidé de construire moi-même les prototypes de contrôleurs d'air dont j'ai besoin pour asservir des appareils de traitement d'air (odeurs, COV, particules fines). Je suis tombé sur Arduino et j'ai pensé que ce serait bien pour compléter et raviver les cours d'électronique par correspondance que j'avais pris ... il y a presque 50 ans !",0.0,0.0,MinesTelecom/04017/session01,N
rpecebou,Evry,FR,m,1993,m,Le programme dont tu rapportais une erreur dans ton post au départ,0.0,0.0,MinesTelecom/04017/session01,Y
rpecebou,Evry,FR,m,1993,m,Le programme dont tu rapportais une erreur dans ton post au départ,0.0,0.0,MinesTelecom/04017/session01,N
pbBelot,congenies,FR,m,1958,m,"Pierre, prof de technologie :

Je viens sur ce mooc pour prendre une avance définitive sur mes élèves ! :-)
en effet, je me suis lancé dans la fabrication et programmation d'un robot suiveur de ligne avec les élèves de 3ème (sur une base arduino)
J'ai besoin d'approfondir afin d'acquérir la maîtrise nécessaire pour encadrer correctement les élèves et surtout être une ressource efficace .

Si le mooc débordait sur scratch, ce serait la cerise sur le gâteau.
Bon courage à tous, merci à l'équipe qui anime ce mooc

",-0.15,1.0,MinesTelecom/04017/session01,N
AbuBoukari,Lomé,TG,m,1981,m,"J'ai 35 ans. Ingénieur de formation, je suis assez intéressé par le domaine de la domotique. Ayant découvert très récemment l'arduino, je voudrais en acquérir les bases afin de faire des petites réalisations domotiques.
Merci.",0.0,0.0,MinesTelecom/04017/session01,Y
