username,user_id,city,country,gender,year_of_birth,CSP,goals,level_of_education
_Jessica,409560,,,,,,,
_Joseph11,10917600,,,,,,,
_JosueRi,9161234,,,,,,,
_JuJu_,,,,,,,,
_Linux,,tunis,TN,m,1987,,,b
_LS_,10827541,,,,,,,
_M_B_,,,,,,,,
_Mang_,,,,,,,,
_Marie-Cecile_,5270716,,,,,,,
_Martin_F,,,,,,,,
_Mathias_,5641661,,,,,,,
_Max,,,,,,,,
_Megs,17620142,,,,,,,
_MF_,1820869,,,,,,,
_moutmout_,,,,m,,Etudiant,,
_Muriel_M,,,,,,,,
_Nel,11209273,,,,,,,
_Nico_,508518,,,,,,,
_nicoB,,,,,,,,
_Ouma,,,,,,,,
_Patrick,2609270,,,,,,,
_Patrick_,3776922,,,,,,,
_Paulo_,,,,,,,,
_Phoebe_,8041831,,,,,,,
_Ronan_,,,,,,,,
_Sabina,,,,f,,Recherche emploi,,
_sam_d,19549299,,,,,,,
_Samuel_,630084,,,,,,,
_Sandra_,5256733,,,,,,,
_Sarah_,,,,,,,,
_Sebastien_Bernard,7245532,,,,,,,
_Soma_,,Paris,FR,,None,,,
_stef_,4881091,,,,,,,
_stenier,,,,,,,,
_StephaneD,,,,,,,,
_stephanie_m,,,,,,,,
_Sylvie,,,,,,,,
_Thalyn,,,,,,,,
_Timothee,8805388,,,,,,,
_tomtom,9513826,,,,,,,
_Vincent__,11174251,,,,,,,
_VincentB_,16375095,,,,,,,
_xabi_,,,,,,,,
_Zibou_,6431059,,,,,,,
-_Andreas_-,4149155,,,,,,,
-_Dan_-,21573346,,,,,,,
-_Max_-,,,,,,,,
--,,,,,,,,
--37,15441548,,,,,,,
--fred--,6445546,,,,,,,
--Herve--,,,,,,,,
--io--,,,,,,,,
--ISABELLE--,,,,,,,,
-2017-,,,,,,,,
-ABDO-,,,,,,,,
-Aesa-,,,,,,,,
-AGNES,,,,,,,,
-Amine,,,,,,,,
-Aurelie1-,,,,,,,,
-Aurore-,,,,,,,,
-BS-,128621,,,,,,,
-david-,,,,,,,,
-Dominique-,6048736,,,,,,,
-EB-,,,,,,,,
-Elo-,6397606,,,,,,,
-Elsa-,,,,,,,,
-Fanny-,3965865,,,,,,,
-Fred-92-,,,,,,,,
-herve-,714537,,,,,,,
-jAM1,,,,,,,,
-Judith-,6092131,,,,,,,
-laurent-,3239723,,,,,,,
-Lionel-,262077,,,,,,,
-Luca-,3203000,,,,,,,
-Marie_M,,,,,,,,
-Marie-G,5792164,,,,,,,
-matthias,,,,,,,,
-MAZAGAN-,,EL JADIDA,MA,m,1993,,,m
-Nexus6-,,,,m,,"Cadre, sup",,
-NFR-,,toulouse,FR,m,1980,,learn,None
-Nx-,,Paris,FR,,None,,,
-Priyanka123_,9387143,,,,,,,
-Serge-,,,,,,,,
-Smerinthe-,12789826,,,,,,,
-Stam-,8682631,,,,,,,
-Steph-,,None,,m,1971,,,m
-Sylvain-,13634500,,,,,,,
-Sylvia,,,,,,,,
-thierry-,,,,,,,,
-Vince-,774763,,,,,,,
-Yann-,,,,,,,,
-zouhiir-,5112712,,,,,,,
0-Leslie-0,6427453,,,,,,,
0-romance,,,,,,,,
001RayanLee,19606536,,,,,,,
008,1333110,,,,,,,
008774,5132476,,,,,,,
00lumo00,4249443,,,,,,,
00MLW02,10882570,,,,,,,
01_06_1993,,,,,,,,
0106kS1,3617121,,,,,,,
0123456789,,,,,,,,
0132595313rg,,Sainte Clotilde,RE,m,1991,Etudiant,"Etant en 2ème année à l'université de la Réunion, j'aimerais si possible augmenté mes connaissance et mes acquis, je me suis alors tourné sur le mooc, comme quoi on a jamais assez de connaissance ou diplôme.",jhs
01974,,,,,,,,
01franz,11757539,,,,,,,
01Marie,,,,,,,,
01Nathalie,,,,,,,,
01Ned,586953,,,,,,,
01sylvie,6909827,,,,,,,
02,,,,,,,,
040Chuck,11523593,,,,,,,
04785069,3801462,,,,,,,
04836248,,tunis,TN,m,1992,,,m
04greg1980,,Nice,FR,m,1980,,,p
0700596,,,,,,,,
07415106,2957543,,,,,,,
0898Andy,13599940,,,,,,,
08costan,1736962,,,,,,,
09724115,,,,,,,,
09aigner,8602761,,,,,,,
09grm,,,,,,,,
0blar,,Paris,FR,m,1969,,,jhs
0cbr,2384750,,,,,,,
0Gabriel0,2278733,,,,,,,
0lenaic0,2291581,,,,,,,
0lexStark41,,,,,,,,
0lf,,None,,m,1980,,,m
0Livi3r,367221,,,,,,,
0r10l,1494431,,,,,,,
0r31,,,,m,,"Cadre, sup",,
0rnicar,6477820,,,,,,,
0TitAnge0,,,,,,,,
0umaima,,Marrakech ,MA,f,1991,,,
0uroboros,,,,,,,,
0WITNESSSES,,,,,,,,
0xB1B1,,,,,,,,
0yves0,,,,,,,,
0ZACK0,,Fès,MA,m,1993,,,b
0zn3k,,,,,,,,
1_Debagnouma,,,,,,,,
100000265,,,,,,,,
1000i100,,Bègles,FR,m,1984,,MOOC : Développer sa pensée critique,m
1000K,,,,,,,,
100drine4,,Nîmes,FR,f,1979,Enseignant,,b
100gram,,,,,,,,
100pour100responsable,,,,,,,,
100PSEUDO,,,,,,,,
102jj102,,,,,,,,
104toure,5733172,,,,,,,
1050,6933893,,,,,,,
1053,,Grillon 84600,FR,m,1953,,Motovations 3D,el
1060,9925169,,,,,,,
10mao,,,,,,,,
1124,,,,,,,,
1156FK,,GAGNY,FR,m,1973,,,m
11933424,,,,,,,,
11ikram11,13345530,,,,,,,
1213,,,,,,,,
123003375,,,,,,,,
1234-,,,,,,,,
1234567890,2398112,,,,,,,
12345678910CL,,,,,,,,
123AZER,3733020,,,,,,,
123cath,3635925,,,,,,,
123chiku123,11540394,,,,,,,
123dv,,,,,,,,
123Kaki123,,,,,,,,
123nadia,2652648,,,,,,,
123Rose,,,,,,,,
1254,5949661,,,,,,,
125ardo,14257507,,,,,,,
12garnier,,,,,,,,
12nono12,264057,,,,,,,
13013,5258368,,,,,,,
13aptiste,5299789,,,,,,,
13ce099,11350334,,,,,,,
13enjamin,,Marseille,FR,m,1983,,"Envie d'apprendre, d'évoluer, de stimuler mon esprit .",jhs
13Marika,6535453,,,,,,,
13Sandrine,,,,,,,,
13SM1,21566702,,,,,,,
14,,,,,,,,
14107ac,10859320,,,,,,,
14111VF,,,,,,,,
1428972,10818309,,,,,,,
1441mcuenca,2173525,,,,,,,
14CE116,11096193,,,,,,,
14Marine,18814847,,,,,,,
150909,14187561,,,,,,,
1597472,,tata,MA,m,1986,,To learn anything that can be helpful in life.,b
15mC3,,,,,,,,
15morel,,,,,,,,
16_1105,11561237,,,,,,,
1600225,6419932,,,,,,,
165mooc,,Paris,FR,,None,,,
16WEBER,1128555,,,,,,,
17,,,,,,,,
1710nathalie,4576206,,,,,,,
172cl207,,,,,,,,
17521103_zoo17,21507945,,,,,,,
17Gonzalez,,,,,,,,
17mk2,,,,,,,,
17Nihal,17076195,,,,,,,
180030004,20299089,,,,,,,
18021799,8345293,,,,,,,
180seb,,Habère poche,FR,m,1991,,,b
181250,11608,,,,,,,
19_musa_19,,,,,,,,
1943,4052346,,,,,,,
1968GRobin,5730733,,,,,,,
1974_31,5595497,,,,,,,
1982mopti,8289739,,,,,,,
1984adb,,Paris,FR,m,1986,,,m
1991-06,6663779,,,,,,,
1994-Mohamed-LH,,Sousse,TN,m,2013,,,jhs
1995mariamnasser,20381864,,,,,,,
1997saurabhsin,21069443,,,,,,,
19alain54,,,,,,,,
19frs77,,,,,,,,
19MC19,6090673,,,,,,,
1Annick,784435,,,,,,,
1ben,,,,m,,Employé,,
1ceiceice,6441985,,,,,,,
1chetan,17716955,,,,,,,
1CLAIRE,,,,,,,,
1Competent,,oujda,MA,m,1994,,je veux devenir un ingénieur compétent. j'espère que FUN m'offre les compétences souhaitées.,other
1Delph,5468048,,,,,,,
1DominiquedeTomasi,,,,,,,,
1drping,1790062,,,,,,,
1Electrotech,19008287,,,,,,,
1Hilda,10349086,,,,,,,
1Jat,11816678,,,,,,,
1kouakou,,,,,,,,
1laurence1,5831027,,,,,,,
1leebel,486314,,,,,,,
1mobi1,11553642,,,,,,,
1n4001,2901739,,,,,,,
1participantFUN,,,,,,,,
1rmohib,,,,,,,,
1saiah,2314359,,,,,,,
1sauveur,,,,,,,,
1shanenoone,10895538,,,,,,,
1six,,,,,,,,
1smael,5235457,,,,,,,
1sp33d,4995505,,,,,,,
1stfruit01,1458692,,,,,,,
1Sundance,10624165,,,,,,,
1talhapk,21286755,,,,,,,
1utilisateur,,,,,,,,
1zeste2code,1401339,,,,,,,
20_vero_V-G_17,5368417,,,,,,,
2006angie,,,,,,,,
20100b,,,,,,,,
20100leb,337617,,,,,,,
20100nicolas,,nantes,FR,m,None,,"Apprendre, découvrir, échanger",
20105302,81913,,,,,,,
2013-1529,,Paris,FR,,None,,,
20137,1793875,,,,,,,
2014-1166,,,,,,,,
20150094,6059053,,,,,,,
2017ABDC,5899829,,,,,,,
2019kitantudi,13766857,,,,,,,
20DS20,18861545,,,,,,,
21-Basilia_todome,5000073,,,,,,,
2112Arnaud,,,,,,,,
21GG21,4741818,,,,,,,
21grumier,1131762,,,,,,,
21Pablos,,,,,,,,
221299,,,,,,,,
22736hm,,Poitiers ,FR,f,1967,,,b
22h15,,,,,,,,
22papillons,1598346,,,,,,,
23,,,,,,,,
237,4140963,,,,,,,
237690982645,11236012,,,,,,,
23clement,,labastide sur besorgues,FR,,None,,,
23D,,,,,,,,
24000,,,,,,,,
24aubin,,,,,,,,
25cecile,,,,,,,,
25Saumon01,,Bruxelles,BE,m,2000,,,
260volt,,,,,,,,
2612,,,,,,,,
26ayush95,9984642,,,,,,,
2707Bzz,,None,,m,1971,,"La formation continue est essentielle durant sa carrière professionnelle.
Les MOOC sont un  bon moyen pour se former à son rythme",m
2781C,692844,,,,,,,
29_shekhar,15498986,,,,,,,
29031,12520174,,,,,,,
2AM,,Ambositra,MG,m,1988,,Développement et Partage des connaissances,b
2B1,11916543,,,,,,,
2C,,Meudon,FR,m,1974,,"faire évoluer, progresser,  mon style de management",m
2cconnect,14989096,,,,,,,
2CD,,,,,,,,
2damien,2618068,,,,,,,
2die4,9394503,,,,,,,
2estelles,,,,,,,,
2FS3,,,,,,,,
2gigson,11178807,,,,,,,
2H,,,,,,,,
2j,6198802,,,,,,,
2Jean,12205112,,,,,,,
2jo,2988296,,,,,,,
2JoSt,2601982,,,,,,,
2jrains,11071894,,,,,,,
2Ju,,,,,,,,
2kn,1821400,,,,,,,
2laby,,,,,,,,
2luciasc,8291948,,,,,,,
2marv,3092474,,,,,,,
2ny,,None,,,None,,,
2Pat,9321888,,,,,,,
2rothman,,Ribécourt dreslincourt,FR,m,1971,,Garder l'esprit vif et progresser,m
2skilled4u,5609459,,,,,,,
2skoncept,,,,,,,,
2ssalif,4888180,,,,,,,
2tartines,3662946,,,,,,,
2th,4658991,,,,,,,
2tmg,5703422,,,,,,,
30Armelle,,,,,,,,
30kerubo,3648881,,,,,,,
31415926535,4303396,,,,,,,
31415926535898thons,3707868,,,,,,,
3141pi,971238,,,,,,,
3142r,,,,,,,,
317Machine,149302,,,,,,,
31bsl31,3851040,,,,,,,
31marina,15645014,,,,,,,
31Roger,11684273,,,,,,,
31Stef31,8838673,,,,,,,
31yanmeli,9041618,,,,,,,
3244536,,,,,,,,
3333shadow,2452643,,,,,,,
33Alain35,193212,,,,,,,
33nike,2905653,Bordeaux,FR,m,1961,"Cadre, sup",Refaire un peu de programmation.,hs
3435,16659045,,,,,,,
34Steph,,,,,,,,
357fathoms,2074312,,,,,,,
35Nathalie,,,,,,,,
35roboteam,,,,,,,,
3634,10911176,,,,,,,
36EKPfun,2662616,,,,,,,
36seb,2953133,,,,,,,
378,6622976,,,,,,,
37oliver,,,,,,,,
38domo,,LA BUISSE,FR,m,1956,,Interesse par Domotique et Internet des objets,m
3aba1,,,,,,,,
3abass,,,,,,,,
3AC,9880416,,,,,,,
3Alfredo9,5572958,,,,,,,
3Clara,12371162,,,,,,,
3DAMY,,YAOUNDE,CM,m,1984,,Apprendre plus parceque la technologie évolue ils faut être à la page pour être plus compétitif et mieux informé.,a
3dofbis,,Angers-lannion,FR,m,1968,,Membre club Reia Angers; porteur projet Cite de l'objet Connecté ; membre fablab Lannion.,m
3dOnWeels,8426063,,,,,,,
3eeway,19556799,,,,,,,
3fpascale,1181913,,,,,,,
3lue3erry,,,,,,,,
3m2t,,None,,m,1977,,,b
3mili3,2989046,,,,,,,
3pommes12,335730,,,,,,,
3PomSe3,,,,,,,,
3R53,18804995,,,,,,,
3than,,Le mans,FR,m,2004,,apprendre,none
3tin3,,Tilly sur Seulles,FR,m,1971,Enseignant,,hs
3wen,,,,,,,,
3xalt3d,,,,,,,,
3zzzzzz,5105528,,,,,,,
40719,,,,,,,,
408harihar,9126050,,,,,,,
4152M,,,,,,,,
42L,,,,,,,,
44_nadia,,,,,,,,
4475,8824128,,,,,,,
451959,,PARIS,FR,m,1982,,,hs
46JBru,8881648,,,,,,,
481taL,,,,,,,,
49tom,,,,,,,,
4B0U,,,,,,,,
4Catel,,,,,,,,
4Catherine,12334930,,,,,,,
4D,,,,,,,,
4EverDigital,,,,,,,,
4evered,16791841,,,,,,,
4EverStudent_,9725309,,,,,,,
4Hinko,12438884,,,,,,,
4ine75,492081,,,,,,,
4ineMasson,6930455,,,,,,,
4joce,,None,FR,m,1964,,,m
4Marie,,,,,,,,
4NN4M4R1E,4324512,,,,,,,
4nna,,SAINTE-NATHALENE,FR,f,1988,,,m
4ntol,,LYON,FR,m,1988,,,m
4ntonio,3060236,Roubaix,FR,m,1986,"Cadre, sup","Je trouve l'idée d'offrir une formation ouverte à tous, une idée superbe?",m
4rm4nd,,,,,,,,
4rnaud,2984612,,,,,,,
4SAADDINE,,,,,,,,
4si4n,9702226,,,,,,,
4stef,,,,,,,,
4stinh,58615,,,,,,,
500054144,14235213,,,,,,,
500C,5621153,,,,,,,
500XT,7024957,,,,,,,
50cent,,,,,,,,
51anne,,,,,,,,
53845713n,,talence,FR,,None,,,
54Enna45,,Paris,FR,,None,,,
5555,,N'djamena,TD,m,1997,,,b
56110Gourin,175307,,,,,,,
56Corinne,,,,,,,,
56Rialland,6561334,,,,,,,
570615004,17788956,,,,,,,
58Gourmelen,2032012,,,,,,,
59sam,,,,,,,,
59Thierry,,Dunkerque,FR,m,1974,,"Je travaille dans une multinationale du secteur sidérurgique. Nous innovons beaucoup sur nos produits, un peu sur nos services... mais pas beaucoup sur nos modes de management ou de collaboration. J'aimerais comprendre mieux les ressorts de l'innovation pour pouvoir proposer avec succès des méthodes innovantes dans ces domaines.",m
5alil,,,,,,,,
5baccig,13108241,,,,,,,
5Clemence9,,,,f,,Employé,,
6080,,,,,,,,
60K0,,,,,,,,
6319,18569526,,,,,,,
63ChristopheA,19066459,,,,,,,
63morel,12023757,,,,,,,
6407702,10880911,,,,,,,
666lestat,4483371,,,,,,,
67CH,,,,,,,,
6978069780,,,,,,,,
69Adil,,,,,,,,
69Agimenez,5457593,,,,,,,
6alfalfa9,3308829,,,,,,,
6De,5595368,,,,,,,
6didier,,bompas,FR,m,1972,"Cadre, sup",,hs
6gusto,3627699,,,,,,,
6l20,11078845,,,,,,,
6lv1,8716373,,,,,,,
6rocco,6080851,,,,,,,
6scotty9,,None,,,None,,,
6Sy,,,,,,,,
705qbe,6895406,,,,,,,
7133D,,,,,,,,
71970127Rene,18530458,,,,,,,
722712jb,10622032,,,,,,,
72470,,,,,,,,
742,,,,,,,,
747,,,,,,,,
75-flo,,,,,,,,
760830,,,,,,,,
77515herve,,,,m,,Employé,,
77herve,,,,,,,,
77muriel,2903700,,,,,,,
77Nelly,6375475,,,,,,,
78DSerge,,,,m,,Retraité,,
78squirel78,,Paris,FR,m,1955,,Design de boitiers pour micro contrôleurs embarqués,hs
7aalain,,,,,,,,
7Alienor,314700,,,,,,,
7asnaa,,,,f,,Employé,,
7enriz,18404345,,,,,,,
7H3413XY,4593342,,,,,,,
7hib,,Vincennes,FR,m,1986,,Je suis développeut Java. Je n'ai aucune connaissance en électronique. je m'y suis initié avec le GoPiGo de Dexter Industries. J'ai pu réaliser mes projets mais sans trop comprendre les interactions de bas niveau entre le code et la machine. C'est pourquoi je souhaite participer à votre MOOC.,m
7MNM,1556883,,,,,,,
80fd44,951762,,,,,,,
81Laurent,,,,,,,,
83-andre,5651651,,,,,,,
83FUN,,,,,,,,
84onurB,10617982,,,,,,,
85BENOIT,,,,,,,,
85gf,,None,FR,m,1971,Enseignant,,b
860GTS,,,,,,,,
87Emmanuel,8867628,,,,,,,
88AB,,,,,,,,
89-GIGI,15979946,,,,,,,
8fab8,6724550,,,,,,,
8mgs8,,,,,,,,
9000MWatt,5474931,,,m,,Employé,,
900DIV,,,,,,,,
90chaww,,Paris,FR,,None,,,
92773217,6451552,,,,,,,
92EG75,18131546,,,,,,,
92Momar,,Dakar,SN,m,1993,,,b
94,,,,,,,,
9419087990,11177572,,,,,,,
94DPauline,,,,,,,,
970,3115430,,,,,,,
973valentin,4858270,,,,,,,
974rehel,5134030,,,,,,,
987RS60,4663197,,,,,,,
9dj,2422445,,,,,,,
9illes,,,,,,,,
A_10,12951631,,,,,,,
a_akter,10769780,,,,,,,
a_allorent,,,,,,,,
A_Ansi,11602057,,,,,,,
A_Augus,,,,,,,,
A_Baimbridge,,,,,,,,
a_baqa1,10766789,,,,,,,
A_boris,,,,,,,,
A_Boudaud,,,,,,,,
A_BREG,,None,,m,1967,,Perfectionnement HTML,m
A_C_A,,,,,,,,
a_canaguier,5504487,,,,,,,
A_Carriqui,,,,,,,,
A_DAUBARD,,,,,,,,
A_daum,,,,,,,,
A_DELATTRE,6424015,,,,,,,
A_Delphine,5819444,,,,,,,
A_Denet,5327944,,,,,,,
A_Fou,5714441,,,,,,,
A_FOUDA,5772943,,,,,,,
a_galli,12447564,,,,,,,
A_Gat,6515539,,,,,,,
a_girard,,,,,,,,
a_gru,,,,,,,,
A_HAKIMI,965241,,,,,,,
A_Hopma,15863325,,,,,,,
a_iordanov,13781076,,,,,,,
a_jumez,,,,,,,,
A_Kammoun,,,,,,,,
A_l_e_x,4906594,,,,,,,
a_lavigne_,5155153,,,,,,,
A_lex_,13099350,,,,,,,
a_lex_N,3848742,,,,,,,
A_Lim,5193922,,,,,,,
A_Magdi,1018021,,,,,,,
a_mahamane,,Bamako,ML,m,1972,,,p
A_Mamdouh,3847168,,,,,,,
A_Mbuluma,4948214,,,,,,,
a_mez,,,,,,,,
a_morisset,,,,,,,,
a_nikov,,Rueil Malmaison,FR,m,1991,,Developpement personnell,m
A_Nobel,11772953,,,,,,,
A_Ollag,4579716,,,,,,,
a_pvt,,,,,,,,
a_rambal,,,,,,,,
A_Riverap,11932796,,,,,,,
a_rossi,3899715,,,,,,,
A_S-,,,,,,,,
a_santerne,6734570,,,,,,,
a_shams,7739273,,,,,,,
a_SYOEZ,,,,,,,,
A_Teddy,5536641,,,,,,,
A_u_r_e_l_i_e,5782273,,,,,,,
a_ulrich_2017,,,,,,,,
a-assiam,,,,f,,Etudiant,,
a-avrillon,5851670,,,,,,,
a-bellaj,,,,,,,,
a-boulet,11409902,,,,,,,
A-Brahim,,Errachidia,MA,m,1976,,"Merci pour cette occasion , Je souhaite une bonne formation pour tout le monde",b
A-Cath,2963939,,,,,,,
a-cheron,8226461,,,,,,,
A-Choisy,,,,,,,,
A-CO,,,,,,,,
A-constant,,,,,,,,
a-coquelle,5060588,,,,,,,
A-DiDii,5485331,,,,,,,
a-elaouyed,,,,,,,,
A-Elias,,,,,,,,
a-f,4745190,,,,,,,
A-FC,1588818,,,,,,,
A-Forget,9243276,,,,,,,
A-FTAITA,,,,,,,,
A-G-N,,,,,,,,
A-Gaspard,,,,,,,,
a-gb,20101391,,,,,,,
A-Guarnaccia,,,,,,,,
A-GUEU,,,,,,,,
a-guillot-bernier,5845397,,,,,,,
A-HBB,,,,,,,,
A-Hyerard,,,,,,,,
A-JACOD,,,,,,,,
A-Jallad,10673083,,,,,,,
A-kevin,,digne les bains,FR,m,1991,,"Apprendre, la connaissance.",jhs
A-KOUAME,4427964,,,,,,,
A-Laisne,18449762,,,,,,,
A-lele,,,,,,,,
a-leroux,,,,,,,,
a-leroy,,,,,,,,
a-letohic,8844218,,,,,,,
A-mariem,,,,,,,,
a-marwana,,,,,,,,
A-MATH,,,,,,,,
A-mbo-cisse,,Conakry,GN,f,1997,,,b
A-Nawel,5080280,,,,,,,
A-Nouar,,,,,,,,
A-pal,6306535,,,,,,,
a-philippe-riban,5785771,,,,,,,
A-Pi,,Toulouse,FR,f,1982,,,m
a-pierson,13455352,,,,,,,
a-pourcelot,,,,,,,,
A-PR,5989678,,,,,,,
A-PREVOT,9100354,,,,,,,
A-QUA,15136746,,,,,,,
A-Sellier,,,,,,,,
A-Supply,18569493,,,,,,,
A-T,,,,,,,,
a-tom,1252032,,,,,,,
a-tsioh,,,,,,,,
A-VICENTE,6501559,,,,,,,
A-youssef,,,,,,,,
A-Zoubert,,Majicavo KOropa,YT,f,1999,,,el
a00226737,15572355,,,,,,,
a066118,6137908,,,,,,,
A0FRANCOIS,,MARSEILLE,FR,m,1995,,,hs
a11,,,,,,,,
a142862,,,,,,,,
a16,,,,,,,,
a17noor,5987350,,,,,,,
A1954,1798831,,,,,,,
A1etA2,1150806,,,,,,,
A1Hallouti,,,,,,,,
A1SAKHO,11413487,,,,,,,
a208539,13788682,,,,,,,
a2anouar,,Tétouan,MA,m,1985,,,other
a2cFUN,,,,,,,,
A2CSI,,,,,,,,
A2D,1580523,,,,,,,
a2linecarlier,,,,,,,,
a2luca,17249423,,,,,,,
A2lynne,5919520,,,,,,,
A2M5,8397478,,,,,,,
A2pzp,,,,,,,,
A2R,1338582,,,,,,,
a30nunes,,,,,,,,
a3des,,,,,,,,
a3Dfc,,None,,m,1973,,,other
a4,5375848,,,,,,,
A400,4114369,,,,,,,
A44pi,,,,,,,,
A76832,,,,,,,,
a8000km,,,,,,,,
a84picard,,,,,,,,
a9dim,2572330,,,,,,,
aa2008,,,,,,,,
AA24,,,,,,,,
AA3,7600261,,,,,,,
aaa8,2426211,,,,,,,
aaaaaaaaaaaaaaaaaaaaa,,Paris,FR,o,1996,,,p
AAAbdoussalam,,,,,,,,
aaacf36,,,,,,,,
aaatrois,,,,,,,,
aaazzedine,,tourcoing,FR,m,1977,,,hs
AABADAGAN,,,,,,,,
aabarghache,,casablanca,MA,m,1994,,,m
AABB,,,,,,,,
aabboushi,3421312,,,,,,,
Aabd,,,,,,,,
aabdal,,,,,,,,
AAbdel,,,,,,,,
aabdou2,144611,,,,,,,
Aabdouni,10176241,,,,,,,
aabelard,,,,,,,,
Aabell,142322,,,,,,,
aabitan,,,,,,,,
aabnour,,,,,,,,
aaboon1,11211581,,,,,,,
AABOUD,,Monastir,TN,f,1988,,intéressée par le cour français,p
aaboudou,,,,,,,,
aabouihia,,,,,,,,
AACE,,casablanca,MA,m,1990,,,m
aachbairy,,st Laurent du var ,FR,m,1959,,Je suis très content de trouver un site comme le vôtre je suis très curieux et cherche à avoir de nouvelles connaissances pour réussir ce que j'entreprends merci.,other
aaCIF2016,1708090,,,,,,,
aadabin,,PARIS,FR,f,1985,,L'envie d'apprendre facilement me motive  !!!!,b
Aadi_Kothari,4673924,,,,,,,
AAdiallo,,,,,,,,
Aadil,,,,,,,,
AadilEco007,4810588,,,,,,,
Aadilfayem,,,,,,,,
aadiprakash,10487895,,,,,,,
Aaditya_Naresh,16693711,,,,,,,
Aadjahossou,5646740,,,,,,,
aadjim,5555811,,,,,,,
aadourkane,,,,,,,,
AadrianG,8033221,,,,,,,
aadridi,,,,,,,,
aaf017,,PESSAC,FR,m,1981,,,b
aafall,,,,,,,,
aafuentealba,10871455,,,,,,,
Aagharbi,8175296,,,,,,,
Aagl,12442507,,,,,,,
AAgouzoul,,,,,,,,
aagp,,,,,,,,
aagued,,Betzdorf,LU,f,1976,,Ma motivation est simple apprendre et suivre au maximum l'evolution des technologies dans tous les domaines. Le plus de FUN c'est qu'on le fait a son rythme et que les cours sont ouverts sur plusieurs domaines d'activitees.,hs
AAH_Doha,19443037,,,,,,,
aahbich,,,,,,,,
aahcene,,,,,,,,
AAhmed,,,,,,,,
Aahmetra,9929801,,,,,,,
AAI,,,,,,,,
aaibrahim,,,,,,,,
aait,,,,,,,,
Aaitighil,,,,,,,,
Aaitihda,,Pessac,FR,m,1995,,,m
Aaitmansour,3827736,,,,,,,
AAJ,,,,,,,,
aajg,4959631,,,,,,,
aakaffou,,,,,,,,
Aakash_Murugan,3166615,,,,,,,
Aakash1103Jha,11320362,,,,,,,
aakashagg007,5762367,,,,,,,
AakashV97,9763146,,,,,,,
aakim,,Lomé,TG,m,1990,,,hs
Aakira,,paris,FR,m,None,,,m
aalamiid,,,,,,,,
Aalamiid01,,,,,,,,
Aalbec,,Fribourg,CH,m,1988,,,b
Aalberio,,,,,,,,
Aalbisser,2254135,,,,,,,
aalbq,18569474,,,,,,,
Aaleks02,,,,,,,,
aalesk,2432431,,,,,,,
AAlexF,5601044,,,,,,,
Aali13,,,,,,,,
aalibe01,,,,,,,,
aalignier,1696582,,,,,,,
Aalina,,,,,,,,
aalind1993,6861386,,,,,,,
AAline64,6106513,,,,,,,
aaliyah1989,,EMERAINVILLE,FR,f,1989,,,other
aallais,,,,,,,,
AaLlEeXxAaNnDdRrAa,,,,,,,,
aallegra4275,6000334,,,,,,,
aalliixx,,,,,,,,
aalliot,,,,,,,,
AAlshuhail,8196904,,,,,,,
aama,,,,,,,,
AAmaiga,1054485,,,,,,,
AAmaziane,,,,,,,,
Aambro,,,,,,,,
